Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Hunter Dickinson,1,SR,C,7-1,255,"Alexandria, VA",DeMatha Catholic HS,37 (2020),"17.9 Pts, 10.9 Reb, 2.3 Ast"
Kevin McCullar,15,SR,G,6-6,205,"San Antonio, TX",Wagner HS,,"18.3 Pts, 6.0 Reb, 4.1 Ast"
KJ Adams,24,JR,F,6-7,225,"Austin, TX",Westlake HS,66 (2021),"12.6 Pts, 4.6 Reb, 3.1 Ast"
Johnny Furphy,10,FR,G,6-9,202,"Melbourne, Australia",Centre of Excellence (Australia),,"9.0 Pts, 4.9 Reb, 1.0 Ast"
Dajuan Harris,3,SR,G,6-1,160,"Columbia, MO",Rock Bridge HS,,"8.5 Pts, 2.0 Reb, 6.5 Ast"
Nicolas Timberlake,25,SR,G,6-4,200,"Braintree, MA",Kimball Union HS,,"5.2 Pts, 1.9 Reb, 0.6 Ast"
Elmarko Jackson,13,FR,G,6-3,195,"Marlton, NJ",St. Augustine Prep (NJ); Academy of the New Church (PA); South Kent School (CT),20 (2023),"4.3 Pts, 1.4 Reb, 1.7 Ast"
Parker Braun,23,SR,F,6-8,217,"Overland Park, KS",Blue Valley Northwest HS,,"2.2 Pts, 1.6 Reb, 0.3 Ast"
Jamari McDowell,11,FR,G,6-4,180,"Houston, TX",Manvel (TX),,"1.8 Pts, 1.2 Reb, 0.5 Ast"
Michael Jankovich,20,SR,G,6-5,185,"Dallas, TX",Northfield Mount Hermon School (MA),,"1.6 Pts, 0.3 Reb, 0.0 Ast"
Wilder Evers,12,SO,G,6-3,190,"Birmingham, AL",Oak Mountain (AL),,"0.8 Pts, 0.4 Reb, 0.3 Ast"
Patrick Cassidy,14,JR,G,6-1,185,"Columbus, KS",Columbus Unified (KS),,"0.8 Pts, 0.5 Reb, 0.0 Ast"
Dillon Wilhite,22,SO,F,6-9,240,"San Diego, CA",Cathedral Catholic HS,,"0.3 Pts, 0.2 Reb, 0.0 Ast"
Chris Carter,5,FR,G,6-4,190,"Indio, CA",Shadow Hills (CA),,"0.0 Pts, 0.0 Reb, 0.0 Ast"
